device,micros,ax,ay,az,gx,gy,gz
0,0,16688,2500,-304,-5471,-3095,-485
1,569,16752,2168,1820,-4607,-2740,-626
2,1135,16248,3000,3160,-5023,-3009,-576
3,1217,16248,3000,3160,-5023,-3009,-576
0,4000,16788,2700,-444,-5180,-3059,-457
1,4569,16664,2432,1760,-4316,-2701,-631
2,5135,16376,2964,3380,-4693,-2945,-532
3,5218,16376,2964,3380,-4693,-2945,-532
0,8000,16772,2760,-724,-4862,-2989,-387
1,8570,16604,2412,1412,-4004,-2663,-583
2,9136,16144,3060,3336,-4392,-2856,-484
3,9218,16144,3060,3336,-4392,-2856,-484
0,12007,16848,2640,-1056,-4557,-2938,-379
1,12576,16484,2496,1512,-3672,-2597,-556
2,13142,16272,3024,3420,-4069,-2796,-455
3,13225,16272,3024,3420,-4069,-2796,-455
0,16006,16968,2708,-1140,-4193,-2887,-331
1,16575,16544,2440,1456,-3349,-2522,-499
2,17141,16360,3036,3548,-3734,-2678,-394
3,17223,16360,3036,3548,-3734,-2678,-394
0,20007,16824,2744,-1128,-3888,-2802,-293
1,20573,16612,2532,1400,-3020,-2473,-478
2,21139,16276,2936,3512,-3442,-2566,-356
3,21221,16276,2936,3512,-3442,-2566,-356
0,24003,16964,2872,-1096,-3559,-2729,-237
1,24569,16728,2568,1264,-2717,-2391,-428
2,25135,16352,2944,3588,-3109,-2465,-302
3,25217,16352,2944,3588,-3109,-2465,-302
0,28000,17088,2832,-1144,-3266,-2617,-191
1,28567,16696,2584,1240,-2418,-2311,-383
2,29133,16360,3068,3704,-2812,-2384,-233
3,29215,16360,3068,3704,-2812,-2384,-233
0,32000,17128,2892,-1136,-2970,-2551,-163
1,32566,16820,2552,1140,-2127,-2249,-343
2,33132,16460,2900,3684,-2531,-2281,-186
3,33214,16460,2900,3684,-2531,-2281,-186
0,36000,17188,2916,-960,-2711,-2495,-101
1,36566,16884,2560,1096,-1888,-2142,-300
2,37132,16480,2824,3900,-2292,-2188,-138
3,37214,16480,2824,3900,-2292,-2188,-138
0,40000,17100,2752,-1032,-2490,-2379,-94
1,40566,16980,2464,832,-1673,-2060,-245
2,41132,16416,2852,4084,-2104,-2037,-67
3,41214,16416,2852,4084,-2104,-2037,-67
0,44000,17152,2616,-908,-2292,-2271,-14
1,44566,16844,2476,780,-1503,-1978,-198
2,45132,16456,2880,4100,-1919,-1971,-57
3,45214,16456,2880,4100,-1919,-1971,-57
0,48000,17160,2748,-960,-2157,-2175,-8
1,48566,16916,2360,720,-1324,-1892,-162
2,49132,16548,2744,4224,-1795,-1869,0
3,49214,16548,2744,4224,-1795,-1869,0
0,52002,17164,2556,-732,-2029,-2099,-3
1,52568,17060,2432,712,-1235,-1824,-116
2,53133,16600,2836,4208,-1691,-1747,35
3,53216,16600,2836,4208,-1691,-1747,35
0,56000,17188,2556,-652,-1944,-2004,42
1,56566,17056,2440,540,-1151,-1734,-131
2,57132,16664,2680,4128,-1621,-1652,50
3,57214,16664,2680,4128,-1621,-1652,50
0,60002,17312,2640,-620,-1897,-1893,74
1,60568,17188,2432,716,-1098,-1633,-57
2,61134,16716,2760,4216,-1577,-1559,71
3,61216,16716,2760,4216,-1577,-1559,71
0,64007,17296,2584,-460,-1857,-1787,97
1,64573,17164,2404,636,-1065,-1555,-58
2,65139,16744,2744,4200,-1582,-1471,94
3,65221,16744,2744,4200,-1582,-1471,94
0,68005,17480,2588,-300,-1831,-1720,82
1,68571,17248,2240,416,-1068,-1479,13
2,69137,16764,2672,4320,-1575,-1380,116
3,69219,16764,2672,4320,-1575,-1380,116
0,72002,17636,2624,-416,-1876,-1634,112
1,72569,17348,2220,600,-1115,-1409,20
2,73134,16872,2684,4548,-1604,-1309,154
3,73217,16872,2684,4548,-1604,-1309,154
0,76001,17548,2608,-256,-1918,-1530,147
1,76566,17452,2248,468,-1127,-1293,65
2,77132,16952,2784,4296,-1667,-1233,155
3,77214,16952,2784,4296,-1667,-1233,155
0,80001,17648,2436,-312,-1979,-1481,134
1,80566,17448,2120,288,-1199,-1222,66
2,81132,16900,2628,4464,-1717,-1141,157
3,81215,16900,2628,4464,-1717,-1141,157
0,84000,17624,2392,-288,-2078,-1356,161
1,84566,17508,2088,388,-1292,-1142,90
