device,micros,ax,ay,az,gx,gy,gz
0,0,32767,-32768,-32768,-2522,-634,-72
1,568,1780,-456,-16716,116,11,-27
2,1134,2312,-2236,-14800,-457,139,-2
3,1217,2312,-2236,-14800,-457,139,-2
0,3998,32767,-32768,-32768,-2514,-626,-35
1,4566,1780,-468,-16632,116,-23,-67
2,5132,2256,-2184,-14808,-476,151,8
3,5214,2256,-2184,-14808,-476,151,8
0,7998,32767,-32768,-32768,-2531,-629,-97
1,8567,1692,-552,-16764,147,-8,-46
2,9137,2248,-2156,-15028,-482,121,30
3,9219,2248,-2156,-15028,-482,121,30
0,11998,32767,-32768,-32768,-2516,-632,-70
1,12567,1616,-500,-16752,133,-7,-27
2,13137,2224,-2196,-14776,-481,128,9
3,13219,2224,-2196,-14776,-481,128,9
0,15997,32767,-32768,-32768,-2543,-665,-79
1,16565,1724,-452,-16528,118,-11,-56
2,17135,2288,-2244,-14688,-478,139,16
3,17217,2288,-2244,-14688,-478,139,16
0,19997,32767,-32768,-32768,-2515,-627,-88
1,20565,1756,-524,-16692,132,-25,-54
2,21132,2260,-2288,-14812,-468,126,2
3,21214,2260,-2288,-14812,-468,126,2
0,23997,32767,-32768,-32768,-2513,-635,-78
1,24565,1664,-512,-16596,125,-32,-51
2,25131,2160,-2264,-14804,-465,131,21
3,25213,2160,-2264,-14804,-465,131,21
0,27997,32767,-32768,-32768,-2533,-655,-88
1,28565,1680,-552,-16652,147,15,-29
2,29131,2220,-2200,-14828,-469,125,22
3,29213,2220,-2200,-14828,-469,125,22
0,31997,32767,-32768,-32768,-2516,-625,-68
1,32565,1696,-564,-16636,114,-14,-47
2,33132,2264,-2216,-14824,-513,141,17
3,33214,2264,-2216,-14824,-513,141,17
0,35997,32767,-32768,-32768,-2519,-619,-84
1,36565,1788,-536,-16716,124,-24,-41
2,37132,2280,-2252,-14600,-475,122,7
3,37214,2280,-2252,-14600,-475,122,7
0,40001,32767,-32768,-32768,-2529,-638,-67
1,40568,1604,-464,-16532,122,-13,-62
2,41134,2332,-2280,-14776,-472,152,-11
3,41216,2332,-2280,-14776,-472,152,-11
0,44000,32767,-32768,-32768,-2524,-621,-82
1,44568,1704,-456,-16684,149,-40,-25
2,45134,2224,-2204,-14656,-491,125,16
3,45216,2224,-2204,-14656,-491,125,16
0,47999,32767,-32768,-32768,-2545,-658,-45
1,48567,1572,-532,-16656,121,-9,-50
2,49133,2180,-2264,-14664,-486,137,4
3,49215,2180,-2264,-14664,-486,137,4
0,51997,32767,-32768,-32768,-2536,-618,-71
1,52565,1664,-480,-16624,120,-35,-51
2,53131,2276,-2156,-14892,-481,147,12
3,53213,2276,-2156,-14892,-481,147,12
0,55997,32767,-32768,-32768,-2527,-638,-101
