device,micros,ax,ay,az,gx,gy,gz
0,0,-11391,4124,-443,4,3807,-1061
1,567,22,2051,-798,4657,3807,-1071
2,1132,1501,2051,4,4442,-1105,-1071
0,62796771,-2404,22,-7473,22,2040,-759
1,39662513,-2404,-8038,22,1499,2040,51
2,4143065065,-8604,22,-7391,4115,-367,51
0,289489754,-1089,950,-2400,-2417,-4038,22
1,250232894,-1089,593,-2310,-4604,22,-3391
2,4222823641,644,593,-2417,22,-3473,22
0,269367062,82,4451,-1143,-1114,559,-2323
1,133577034,82,3829,-1097,614,559,-2426
2,4247597046,4657,3829,-1114,920,-2405,-2426
0,12001,609,4126,-264,125,3822,-1121
1,12567,23,2072,-646,4638,3822,-1133
2,13132,1509,2072,125,4444,-1162,-1133
0,56898432,-2439,23,4527,23,2062,-570
1,32650054,-2439,3962,23,1537,2062,169
2,4140312517,3396,23,4609,4134,-194,169
0,288310103,-1154,865,-2434,-2450,7962,23
1,250822727,-1154,494,-2348,7396,23,8609
2,4218563736,557,494,-2450,23,8527,23
0,27999,16608,4149,-10,292,3894,-1221
1,28566,23,2061,-406,4608,3894,-1231
2,29131,1550,2061,292,4422,-1259,-1231
0,50410262,-2474,23,20524,23,2065,-359
1,25506521,-2474,19959,23,1556,2065,310
2,4137691053,19394,23,20606,4138,26,310
0,289358658,-1258,768,-2454,-2481,23959,23
1,255475854,-1258,387,-2390,23394,23,24606
2,4211616817,454,387,-2481,23,24524,23
0,268646197,350,4436,-1322,-1283,361,-2400
1,131217702,350,3966,-1280,427,361,-2491
2,4270731644,4614,3966,-1283,750,-2459,-2491
0,39999,28606,4102,82,369,3988,-1307
1,40564,23,2010,-323,4601,3988,-1314
2,41129,1519,2010,369,4440,-1348,-1314
0,46346959,-2501,23,32524,23,2000,-277
1,20853394,-2501,31959,23,1488,2000,393
2,4135856026,31394,23,32606,4070,121,393
0,290931507,-1342,708,-2470,-2507,-29574,23
1,258949315,-1342,319,-2416,-30140,23,-28927
2,4206439391,386,319,-2507,23,-29009,23
0,56000,-20928,4071,213,401,3946,-1361
1,56566,23,1980,-194,4580,3946,-1362
2,57131,1474,1980,401,4535,-1407,-1362
0,41235075,-2514,23,-17009,23,1988,-170
1,15544897,-2514,-17574,23,1472,1988,396
2,4134348686,-18140,23,-16927,4059,228,396
0,296239867,-1349,636,-2475,-2510,-13574,23
1,256196761,-1349,243,-2430,-14140,23,-12927
2,4204669890,303,243,-2510,23,-13009,23
0,264910620,379,4538,-1389,-1332,224,-2427
1,130169110,379,3916,-1340,288,224,-2508
2,4284756541,4484,3916,-1332,617,-2475,-2508
0,68001,-8927,4088,274,396,3914,-1319
1,68567,23,2036,-112,4471,3914,-1312
2,69132,1538,2036,396,4559,-1365,-1312
0,37630538,-2501,23,-5009,23,2043,-87
1,12399121,-2501,-5574,23,1547,2043,378
2,4134807451,-6140,23,-4927,4097,316,378
0,297616063,-1285,582,-2462,-2495,-1574,23
1,255541391,-1285,197,-2419,-2140,23,-927
2,4208339964,254,197,-2495,23,-1009,23
0,84000,7072,4120,350,364,3944,-1239
1,84566,24,2068,-29,4422,3944,-1222
2,85131,1587,2068,364,4505,-1283,-1222
0,33370637,-2464,24,10991,24,2067,-32
1,8729049,-2464,10426,24,1594,2067,358
2,4136445885,9860,24,11073,4135,366,358
0,293683853,-1207,517,-2424,-2458,14426,24
1,257245353,-1207,146,-2389,13860,24,15073
2,4213386316,191,146,-2458,24,14991,24
0,271071111,358,4520,-1251,-1196,128,-2380
1,134560089,358,3925,-1208,177,128,-2444
2,4291768994,4434,3925,-1196,500,-2412,-2444
0,96001,19073,4151,387,352,3929,-1199
1,96567,24,2085,-17,4454,3929,-1178
2,97132,1623,2085,352,4504,-1239,-1178
0,30421471,-2434,24,22991,24,2086,11
1,5976495,-2434,22426,24,1624,2086,347
2,4137822170,21860,24,23073,4150,384,347
0,293290630,-1167,471,-2393,-2422,26426,24
