device,micros,ax,ay,az,gx,gy,gz
0,0,2436,-2452,-17564,-647,-228,-74
1,566,1772,-732,-16656,127,-7,-30
2,1132,2276,-2388,-14980,-476,130,7
3,1214,2276,-2388,-14980,-476,130,7
0,3998,2424,-2384,-17580,-645,-221,-68
1,4564,1740,-660,-16732,104,-1,-39
2,5130,2356,-2404,-14696,-498,138,0
3,5212,2356,-2404,-14696,-498,138,0
0,7998,2420,-2500,-17604,-654,-222,-69
1,8564,1760,-684,-16620,113,-23,-43
2,9130,2364,-2344,-14736,-476,127,19
3,9212,2364,-2344,-14736,-476,127,19
0,11998,2484,-2384,-17600,-639,-235,-68
1,12564,1708,-656,-16732,104,-3,-48
2,13130,2280,-2444,-14840,-469,145,37
3,13212,2280,-2444,-14840,-469,145,37
0,15998,2436,-2384,-17748,-654,-251,-82
1,16564,1760,-716,-16664,136,-22,-40
2,17130,2292,-2376,-14688,-479,143,-1
3,17212,2292,-2376,-14688,-479,143,-1
0,19998,2508,-2524,-17536,-656,-227,-63
1,20564,1760,-620,-16648,133,-22,-61
2,21130,2372,-2408,-14688,-479,117,17
3,21212,2372,-2408,-14688,-479,117,17
0,23998,2372,-2464,-17556,-653,-213,-50
1,24564,1744,-632,-16640,130,-32,-33
2,25130,2396,-2456,-14712,-476,126,9
3,25212,2396,-2456,-14712,-476,126,9
0,27998,2384,-2584,-17444,-657,-241,-88
1,28564,1768,-652,-16688,120,-24,-53
2,29130,2224,-2440,-14724,-488,137,23
3,29212,2224,-2440,-14724,-488,137,23
0,31998,2272,-2440,-17480,-650,-226,-65
1,32564,1760,-728,-16688,126,-18,-50
2,33130,2388,-2416,-14840,-479,125,-11
3,33212,2388,-2416,-14840,-479,125,-11
0,35998,2372,-2448,-17628,-640,-224,-65
1,36564,1804,-644,-16588,116,-23,-41
2,37130,2328,-2392,-14700,-496,133,17
3,37212,2328,-2392,-14700,-496,133,17
0,39998,2332,-2508,-17600,-630,-246,-76
1,40564,1752,-596,-16680,109,-13,-42
2,41130,2332,-2464,-14680,-473,142,11
3,41212,2332,-2464,-14680,-473,142,11
0,43998,2276,-2468,-17688,-646,-212,-68
1,44564,1760,-724,-16740,141,-15,-53
2,45130,2408,-2412,-14712,-491,133,7
3,45212,2408,-2412,-14712,-491,133,7
0,47998,2404,-2508,-17676,-650,-234,-73
1,48564,1816,-632,-16600,122,-30,-49
2,49130,2244,-2408,-14756,-478,144,13
3,49212,2244,-2408,-14756,-478,144,13
0,51998,2360,-2556,-17480,-626,-257,-89
1,52564,1780,-640,-16564,157,0,-47
2,53130,2316,-2488,-14620,-479,111,15
3,53212,2316,-2488,-14620,-479,111,15
0,55998,2412,-2412,-17544,-647,-250,-84
1,56564,1796,-752,-16652,143,1,-54
2,57130,2328,-2420,-14740,-480,126,-1
3,57212,2328,-2420,-14740,-480,126,-1
0,59998,2560,-2376,-17564,-649,-219,-68
1,60564,1788,-644,-16680,121,3,-32
2,61130,2296,-2460,-14724,-472,133,7
3,61212,2296,-2460,-14724,-472,133,7
0,63999,2532,-2488,-17668,-680,-243,-66
1,64565,1716,-544,-16800,137,-27,-51
2,65131,2304,-2428,-14696,-474,135,18
3,65213,2304,-2428,-14696,-474,135,18
0,68000,2520,-2508,-17600,-666,-218,-73
1,68565,1772,-688,-16620,119,2,-29
2,69131,2324,-2460,-14712,-474,129,21
3,69213,2324,-2460,-14712,-474,129,21
0,72000,2488,-2480,-17584,-628,-217,-46
1,72565,1720,-708,-16592,97,-26,-56
2,73131,2308,-2428,-14604,-473,116,15
3,73214,2308,-2428,-14604,-473,116,15
0,76000,2436,-2448,-17408,-646,-253,-105
1,76565,1788,-556,-16736,156,-13,-18
2,77132,2368,-2388,-14712,-480,127,43
3,77214,2368,-2388,-14712,-480,127,43
0,79999,2420,-2376,-17496,-639,-240,-56
1,80565,1708,-628,-16624,101,-32,-55
2,81131,2264,-2444,-14732,-487,135,8
3,81213,2264,-2444,-14732,-487,135,8
0,84000,2428,-2488,-17532,-643,-237,-75
1,84565,1788,-800,-16576,131,-27,-43
2,85131,2380,-2464,-14780,-495,142,17
3,85214,2380,-2464,-14780,-495,142,17
0,88000,2344,-2524,-17536,-660,-217,-28
1,88566,1740,-664,-16684,128,-22,-41
2,89131,2432,-2452,-14704,-491,117,29
3,89214,2432,-2452,-14704,-491,117,29
0,92000,2356,-2436,-17476,-649,-225,-89
1,92565,1704,-668,-16772,128,-25,-40
2,93131,2336,-2532,-14744,-499,101,3
3,93213,2336,-2532,-14744,-499,101,3
0,96000,2300,-2476,-17532,-641,-236,-61
1,96566,1696,-736,-16576,128,-26,-60
2,97132,2400,-2420,-14620,-485,129,5
3,97214,2400,-2420,-14620,-485,129,5
0,100000,2352,-2480,-17700,-634,-205,-68
1,100566,1764,-804,-16700,144,-11,-64
2,101132,2296,-2488,-14656,-485,116,11
3,101214,2296,-2488,-14656,-485,116,11
0,104000,2320,-2480,-17540,-624,-259,-87
1,104566,1748,-740,-16668,110,-29,-51
2,105132,2312,-2516,-14668,-472,141,26
3,105214,2312,-2516,-14668,-472,141,26
0,108000,2428,-2460,-17644,-639,-236,-51
1,108566,1740,-568,-16740,131,-6,-44
2,109132,2236,-2404,-14892,-479,136,-9
3,109214,2236,-2404,-14892,-479,136,-9
0,112000,2416,-2512,-17472,-627,-218,-57
1,112566,1736,-708,-16724,131,-9,-45
2,113132,2348,-2424,-14800,-479,115,13
3,113214,2348,-2424,-14800,-479,115,13
0,116000,2460,-2432,-17540,-661,-244,-83
1,116566,1776,-560,-16736,125,-24,-60
2,117132,2324,-2392,-14920,-492,135,30
3,117214,2324,-2392,-14920,-492,135,30
0,120000,2472,-2444,-17612,-641,-240,-54
1,120566,1792,-664,-16688,129,-12,-33
2,121132,2272,-2404,-14628,-476,137,3
3,121214,2272,-2404,-14628,-476,137,3
0,124000,2440,-2440,-17476,-645,-221,-57
1,124566,1760,-692,-16688,133,-29,-55
2,125132,2308,-2552,-14780,-480,136,13
3,125214,2308,-2552,-14780,-480,136,13
0,128000,2480,-2432,-17572,-662,-239,-75
1,128566,1732,-696,-16660,124,-18,-28
2,129132,2196,-2400,-14924,-485,130,10
3,129214,2196,-2400,-14924,-485,130,10
0,132001,2380,-2400,-17588,-613,-231,-85
1,132566,1712,-708,-16668,137,-18,-28
2,133132,2304,-2436,-14772,-481,127,24
3,133215,2304,-2436,-14772,-481,127,24
0,136001,2396,-2476,-17580,-656,-247,-70
1,136567,1796,-680,-16600,149,-18,-46
2,137133,2244,-2344,-14764,-469,153,9
3,137215,2244,-2344,-14764,-469,153,9
0,140001,2336,-2504,-17512,-682,-220,-123
1,140567,1772,-628,-16768,118,-3,-44
2,141133,2284,-2384,-14668,-486,122,24
3,141215,2284,-2384,-14668,-486,122,24
0,144001,2356,-2516,-17508,-625,-234,-65
1,144567,1732,-624,-16700,114,-6,-17
2,145133,2320,-2476,-14720,-474,140,4
3,145215,2320,-2476,-14720,-474,140,4
0,148001,2292,-2596,-17580,-654,-235,-63
1,148567,1724,-724,-16688,135,-5,-35
2,149133,2316,-2448,-14812,-498,142,-3
3,149215,2316,-2448,-14812,-498,142,-3
0,152002,2288,-2508,-17576,-627,-233,-76
1,152567,1712,-708,-16704,137,-32,-38
2,153133,2320,-2352,-14728,-470,136,5
3,153215,2320,-2352,-14728,-470,136,5
0,156002,2304,-2460,-17440,-629,-237,-64
1,156568,1760,-644,-16632,136,-23,-31
2,157134,2284,-2444,-14712,-477,112,10
3,157216,2284,-2444,-14712,-477,112,10
0,160002,2332,-2556,-17492,-653,-235,-55
1,160568,1720,-676,-16732,121,-33,-47
2,161134,2360,-2400,-14736,-475,118,8
3,161216,2360,-2400,-14736,-475,118,8
0,164002,2480,-2516,-17568,-638,-240,-63
1,164568,1780,-640,-16648,119,-20,-37
2,165134,2276,-2476,-14656,-495,154,21
3,165216,2276,-2476,-14656,-495,154,21
0,168002,2308,-2584,-17624,-647,-242,-63
1,168568,1756,-772,-16780,118,-20,-38
2,169134,2376,-2372,-14700,-475,107,6
3,169216,2376,-2372,-14700,-475,107,6
0,172002,2428,-2516,-17468,-659,-231,-83
1,172568,1756,-656,-16680,138,-5,-26
2,173134,2344,-2568,-14904,-480,119,5
3,173216,2344,-2568,-14904,-480,119,5
0,176002,2528,-2468,-17696,-651,-222,-122
1,176568,1712,-664,-16660,106,-1,-61
2,177134,2456,-2476,-14748,-461,127,7
3,177216,2456,-2476,-14748,-461,127,7
0,180002,2440,-2432,-17564,-640,-244,-71
1,180568,1684,-684,-16820,114,-33,-14
2,181134,2356,-2432,-14712,-469,125,-3
3,181216,2356,-2432,-14712,-469,125,-3
0,184002,2508,-2384,-17412,-661,-241,-69
1,184568,1700,-652,-16756,124,-12,-42
2,185133,2308,-2436,-14624,-477,119,-11
3,185216,2308,-2436,-14624,-477,119,-11
0,188002,2520,-2488,-17504,-638,-258,-51
1,188567,1680,-652,-16792,130,-13,-33
2,189133,2296,-2424,-14744,-479,118,7
3,189215,2296,-2424,-14744,-479,118,7
0,192002,2424,-2420,-17544,-641,-208,-63
1,192567,1728,-664,-16724,117,-29,-55
2,193133,2368,-2448,-14748,-488,126,24
3,193216,2368,-2448,-14748,-488,126,24
0,196002,2284,-2444,-17552,-628,-229,-70
1,196567,1772,-636,-16744,123,-30,-30
2,197133,2380,-2348,-14756,-469,125,20
3,197215,2380,-2348,-14756,-469,125,20
0,200002,2368,-2412,-17492,-635,-231,-83
1,200568,1672,-708,-16736,135,0,-35
2,201133,2308,-2392,-14904,-487,109,9
3,201216,2308,-2392,-14904,-487,109,9
0,204002,2348,-2524,-17596,-629,-230,-39
1,204568,1752,-720,-16804,129,-21,-34
2,205134,2332,-2496,-14860,-465,120,8
3,205216,2332,-2496,-14860,-465,120,8
0,208002,2284,-2472,-17628,-642,-211,-97
1,208568,1664,-684,-16492,112,4,-40
2,209134,2364,-2448,-14680,-485,127,19
3,209216,2364,-2448,-14680,-485,127,19
