device,micros,ax,ay,az,gx,gy,gz
0,0,9256,1912,13628,1648,-8179,-103
1,565,9624,160,14584,2171,-7799,-1111
2,1130,9508,2240,15408,2097,-7664,-215
3,1212,9508,2240,15408,2097,-7664,-215
0,4000,9120,2148,13776,1699,-8186,-178
1,4565,9648,344,14468,2204,-7841,-1135
2,5130,9448,2556,15720,2127,-7696,-240
3,5212,9448,2556,15720,2127,-7696,-240
0,8000,9228,2488,13868,1700,-8216,-134
1,8565,9572,592,14520,2195,-7868,-1138
2,9130,9420,2840,15804,2110,-7740,-239
3,9212,9420,2840,15804,2110,-7740,-239
0,12000,9104,2568,13780,1656,-8235,-150
1,12565,9596,700,14328,2166,-7895,-1140
2,13130,9252,2928,15884,2059,-7764,-248
3,13212,9252,2928,15884,2059,-7764,-248
0,16000,9048,2764,13996,1571,-8271,-125
1,16565,9588,784,14236,2057,-7938,-1172
2,17130,9276,3212,16048,1970,-7775,-277
3,17212,9276,3212,16048,1970,-7775,-277
0,20000,9132,2796,14224,1448,-8317,-246
1,20565,9492,944,14224,1936,-7974,-1219
2,21130,9300,3200,16176,1825,-7828,-316
3,21212,9300,3200,16176,1825,-7828,-316
0,24000,9080,2768,14048,1298,-8341,-236
1,24565,9612,1004,13988,1757,-7989,-1240
2,25130,9232,3304,16100,1674,-7868,-346
3,25212,9232,3304,16100,1674,-7868,-346
0,28000,9088,2952,14000,1095,-8349,-287
1,28565,9612,1060,13724,1568,-7998,-1259
2,29130,9156,3360,15952,1499,-7916,-398
3,29212,9156,3360,15952,1499,-7916,-398
0,32000,8956,3024,13848,881,-8388,-291
1,32565,9548,1088,13592,1363,-8014,-1301
2,33130,9180,3456,15896,1236,-7948,-434
3,33212,9180,3456,15896,1236,-7948,-434
0,36000,8828,3164,13700,671,-8440,-352
1,36565,9464,1280,13592,1135,-8038,-1308
2,37130,9256,3556,15856,1006,-7982,-479
3,37212,9256,3556,15856,1006,-7982,-479
0,40000,8816,3332,13584,400,-8446,-362
1,40565,9472,1436,13388,904,-8053,-1384
2,41130,9100,3632,15732,769,-8034,-521
3,41212,9100,3632,15732,769,-8034,-521
0,44000,8640,3480,13780,147,-8480,-431
1,44565,9444,1668,13348,621,-8067,-1429
2,45130,9128,3784,15892,496,-8060,-568
3,45212,9128,3784,15892,496,-8060,-568
0,48000,8780,3464,13692,-134,-8500,-478
1,48565,9500,1684,13188,342,-8099,-1455
2,49130,9212,3844,15656,209,-8110,-616
3,49212,9212,3844,15656,209,-8110,-616
0,52000,8884,3512,13816,-461,-8549,-539
1,52565,9424,1628,13344,55,-8121,-1494
2,53130,9356,3780,15416,-95,-8140,-654
3,53212,9356,3780,15416,-95,-8140,-654
0,56000,8904,3560,13432,-734,-8574,-607
1,56565,9560,1684,13168,-244,-8161,-1546
2,57130,9292,3780,15388,-384,-8214,-745
3,57212,9292,3780,15388,-384,-8214,-745
0,60000,9088,3684,13488,-1031,-8623,-622
1,60565,9632,1752,12964,-533,-8204,-1583
2,61130,9408,3728,15264,-686,-8246,-789
3,61212,9408,3728,15264,-686,-8246,-789
0,64000,9036,3652,13316,-1278,-8669,-664
1,64565,9704,1724,13072,-773,-8246,-1623
2,65130,9444,3864,15008,-930,-8335,-836
3,65212,9444,3864,15008,-930,-8335,-836
0,68000,9284,3804,13144,-1520,-8706,-727
1,68565,9700,1996,12944,-1001,-8281,-1640
2,69130,9620,3936,14640,-1129,-8385,-869
3,69212,9620,3936,14640,-1129,-8385,-869
0,72000,9304,3820,13056,-1752,-8788,-722
1,72565,9848,2168,12948,-1198,-8360,-1693
