device,micros,ax,ay,az,gx,gy,gz
0,0,16984,1104,31608,-1899,-289,258
1,566,17312,-928,30420,-1852,-296,266
2,1133,16500,960,32767,-1912,-394,171
3,1215,16500,960,32767,-1912,-394,171
0,4000,17000,980,31388,-2087,-173,263
1,4566,17408,-1056,30200,-2009,-202,312
2,5133,16524,992,32767,-2025,-299,186
3,5215,16524,992,32767,-2025,-299,186
0,8001,16968,856,30908,-2195,-132,248
1,8568,17520,-1132,30312,-2127,-89,301
2,9134,16592,1040,32767,-2150,-171,181
3,9218,16592,1040,32767,-2150,-171,181
0,12000,16976,536,31276,-2304,-13,257
1,12566,17472,-1520,30292,-2253,21,338
2,13133,16532,992,32767,-2282,-92,172
3,13215,16532,992,32767,-2282,-92,172
0,16000,16892,268,31332,-2444,95,235
1,16566,17544,-1752,30308,-2347,98,300
2,17133,16612,1120,32767,-2396,34,156
3,17215,16612,1120,32767,-2396,34,156
0,20000,16936,224,31368,-2534,163,178
1,20566,17444,-1860,30468,-2469,214,302
2,21133,16568,992,32767,-2537,99,109
3,21215,16568,992,32767,-2537,99,109
0,24000,16904,76,31492,-2629,295,163
1,24566,17428,-1948,30464,-2557,278,264
2,25133,16392,976,32767,-2612,187,83
3,25215,16392,976,32767,-2612,187,83
0,28001,16860,172,31428,-2718,366,144
1,28568,17384,-1772,30760,-2643,372,262
2,29134,16468,1016,32767,-2708,239,41
3,29218,16468,1016,32767,-2708,239,41
0,32000,16856,228,31248,-2769,469,97
1,32566,17324,-1704,30800,-2649,453,239
2,33133,16500,976,32767,-2743,326,47
3,33215,16500,976,32767,-2743,326,47
0,36000,16812,372,31124,-2762,549,117
1,36566,17536,-1584,30616,-2671,554,258
2,37133,16800,924,32767,-2771,419,5
3,37215,16800,924,32767,-2771,419,5
0,40001,17052,316,31016,-2772,609,111
1,40568,17700,-1520,30760,-2670,631,259
2,41134,16928,1024,32767,-2714,501,24
3,41218,16928,1024,32767,-2714,501,24
0,44000,17184,372,31412,-2765,676,83
1,44566,17848,-1772,31024,-2655,698,265
2,45133,16992,952,32767,-2664,573,18
3,45215,16992,952,32767,-2664,573,18
0,48000,17264,132,31648,-2742,765,77
1,48566,17712,-1972,31180,-2615,783,245
2,49133,16888,1028,32767,-2653,613,5
3,49215,16888,1028,32767,-2653,613,5
0,52000,17164,48,31404,-2673,845,67
1,52566,17664,-2000,31408,-2563,833,241
2,53133,16892,952,32767,-2646,707,-24
3,53215,16892,952,32767,-2646,707,-24
0,56001,17004,-28,31348,-2595,888,48
1,56567,17572,-2036,31280,-2492,902,222
2,57134,16808,1028,32767,-2610,751,-31
3,57218,16808,1028,32767,-2610,751,-31
0,60000,16960,76,31288,-2502,977,35
1,60566,17632,-1960,31204,-2427,955,198
2,61133,16740,1008,32767,-2492,833,-33
3,61215,16740,1008,32767,-2492,833,-33
0,64001,16900,96,31124,-2441,1016,34
1,64568,17456,-1840,31176,-2303,1040,230
2,65134,16624,980,32767,-2348,921,-23
3,65218,16624,980,32767,-2348,921,-23
0,68000,16792,124,31124,-2298,1089,5
1,68566,17352,-1924,31192,-2202,1109,198
2,69133,16488,1032,32767,-2231,986,-30
3,69215,16488,1032,32767,-2231,986,-30
0,72000,16764,-20,31416,-2149,1137,9
1,72566,17268,-2188,31516,-2061,1170,196
2,73133,16456,1048,32767,-2118,1062,-69
3,73215,16456,1048,32767,-2118,1062,-69
0,76000,16556,-104,31684,-2070,1203,-38
1,76566,17140,-2268,31636,-1974,1206,163
2,77133,16284,1072,32767,-2020,1111,-87
3,77215,16284,1072,32767,-2020,1111,-87
0,80000,16516,-332,31784,-1946,1245,-100
1,80566,17116,-2364,31856,-1863,1261,143
2,81133,16156,1032,32767,-1942,1161,-84
