device,micros,ax,ay,az,gx,gy,gz
0,0,24424,-24016,-10964,124,44,-396
1,568,10236,18876,-13100,1006,259,-375
2,1136,25232,9212,-15040,393,411,-333
3,1218,25232,9212,-15040,393,411,-333
0,4001,24588,-23948,-10968,171,13,-422
1,4568,10332,18836,-13212,997,276,-382
2,5136,25228,9160,-14936,394,451,-310
3,5218,25228,9160,-14936,394,451,-310
0,8001,24584,-23932,-10988,159,35,-387
1,8568,10260,18932,-13008,1001,270,-374
2,9136,25264,9192,-15028,379,455,-313
3,9218,25264,9192,-15028,379,455,-313
0,12001,24560,-23996,-11088,168,66,-401
1,12568,10248,18924,-13164,1016,258,-366
2,13136,25164,9184,-14956,399,446,-327
3,13218,25164,9184,-14956,399,446,-327
0,16001,24692,-23884,-10996,178,22,-393
1,16569,10232,18884,-13272,1005,298,-393
2,17136,25220,9184,-15080,426,433,-329
3,17219,25220,9184,-15080,426,433,-329
0,20002,24644,-23932,-10976,178,56,-411
1,20575,10332,18904,-13112,1016,264,-361
2,21142,25308,9092,-15040,401,435,-320
3,21224,25308,9092,-15040,401,435,-320
0,24001,24612,-23836,-10932,167,64,-399
1,24574,10288,18928,-13064,1012,273,-387
2,25142,25264,9184,-14900,401,440,-321
3,25224,25264,9184,-14900,401,440,-321
0,28001,24668,-23876,-11048,166,60,-392
1,28574,10288,18876,-13140,1018,302,-368
2,29142,25276,9152,-14892,401,429,-320
3,29224,25276,9152,-14892,401,429,-320
0,32001,24768,-23920,-10948,156,37,-407
1,32572,10284,18888,-13060,996,279,-404
2,33139,25332,9084,-15012,411,437,-334
3,33221,25332,9084,-15012,411,437,-334
0,36001,24712,-23936,-11160,180,64,-396
1,36570,10280,18816,-13036,996,268,-366
2,37138,25252,9208,-14920,404,401,-334
3,37220,25252,9208,-14920,404,401,-334
0,40001,24596,-23912,-11060,160,58,-400
1,40569,10244,18864,-13020,1019,273,-379
2,41137,25208,9092,-14948,420,456,-324
3,41219,25208,9092,-14948,420,456,-324
0,44001,24608,-23908,-11044,143,36,-416
1,44569,10204,18776,-13132,1002,268,-382
2,45136,25280,9180,-14988,412,441,-334
3,45218,25280,9180,-14988,412,441,-334
0,48001,24540,-23948,-10980,163,41,-399
1,48569,10192,18868,-12980,1018,281,-372
2,49136,25280,9200,-15060,415,419,-317
3,49219,25280,9200,-15060,415,419,-317
0,52001,24580,-24004,-11048,173,63,-402
1,52568,10288,18860,-13312,1018,259,-372
2,53136,25164,9048,-14900,386,436,-319
3,53218,25164,9048,-14900,386,436,-319
0,56001,24528,-23932,-10972,148,50,-429
1,56568,10220,18912,-13032,996,310,-380
2,57136,25144,9136,-15020,392,418,-317
3,57218,25144,9136,-15020,392,418,-317
0,60001,24516,-23884,-11136,180,63,-411
1,60569,10268,18816,-13052,1008,271,-390
2,61136,25228,9276,-15040,409,443,-304
3,61219,25228,9276,-15040,409,443,-304
0,64001,24564,-23916,-11072,170,41,-420
1,64569,10288,18896,-13064,1000,275,-381
2,65136,25248,9200,-14976,405,419,-333
3,65218,25248,9200,-14976,405,419,-333
0,68001,24480,-23980,-11020,193,44,-453
1,68568,10340,18952,-13072,1031,270,-385
2,69136,25228,9180,-14988,382,444,-320
3,69218,25228,9180,-14988,382,444,-320
0,72001,24564,-23956,-10940,135,43,-378
1,72568,10328,18828,-13060,1016,278,-380
2,73136,25272,9212,-15004,396,437,-316
3,73218,25272,9212,-15004,396,437,-316
0,76001,24588,-23924,-10964,161,37,-392
1,76568,10272,18848,-13056,1015,273,-377
2,77136,25320,9128,-15088,415,437,-329
3,77218,25320,9128,-15088,415,437,-329
0,80001,24688,-23888,-11056,173,58,-423
