device,micros,ax,ay,az,gx,gy,gz
0,0,238,9,6278,-1226,-265,-118
1,563,2827,-489,5716,-1239,-210,-140
2,643,2827,-489,5716,-1239,-210,-140
0,3998,230,108,6602,-1349,-294,-117
1,4562,2810,-432,6042,-1360,-234,-133
2,4642,2810,-432,6042,-1360,-234,-133
0,7999,222,-94,6283,-1490,-256,-125
1,8562,2811,-632,5642,-1491,-183,-147
2,8642,2811,-632,5642,-1491,-183,-147
0,11999,154,-199,6120,-1620,-261,-130
1,12562,2803,-696,5425,-1635,-203,-153
2,12642,2803,-696,5425,-1635,-203,-153
0,15999,158,-210,6264,-1759,-268,-141
1,16562,2776,-719,5617,-1762,-215,-156
2,16642,2776,-719,5617,-1762,-215,-156
0,19999,155,-206,6319,-1883,-275,-151
1,20562,2771,-738,5674,-1880,-189,-160
2,20642,2771,-738,5674,-1880,-189,-160
0,23999,162,-234,6344,-2019,-277,-159
1,24562,2806,-790,5663,-2016,-202,-172
2,24642,2806,-790,5663,-2016,-202,-172
0,27999,171,-326,6316,-2143,-266,-170
1,28562,2839,-869,5735,-2133,-192,-184
2,28642,2839,-869,5735,-2133,-192,-184
0,31999,165,-355,6219,-2244,-275,-184
1,32562,2808,-908,5713,-2232,-180,-198
2,32642,2808,-908,5713,-2232,-180,-198
0,35999,160,-385,6070,-2324,-277,-200
1,36562,2798,-924,5664,-2307,-196,-210
2,36642,2798,-924,5664,-2307,-196,-210
0,40000,156,-390,6047,-2385,-273,-212
1,40563,2786,-939,5662,-2365,-189,-219
2,40643,2786,-939,5662,-2365,-189,-219
0,43998,160,-379,6068,-2453,-271,-223
1,44562,2799,-923,5664,-2432,-182,-230
2,44642,2799,-923,5664,-2432,-182,-230
0,47999,193,-377,6045,-2516,-280,-237
1,48562,2823,-936,5712,-2489,-182,-241
2,48642,2823,-936,5712,-2489,-182,-241
0,51999,240,-367,6033,-2552,-279,-243
1,52562,2854,-930,5791,-2524,-177,-250
2,52642,2854,-930,5791,-2524,-177,-250
0,55999,273,-410,6034,-2580,-279,-253
1,56562,2884,-958,5808,-2553,-178,-255
2,56642,2884,-958,5808,-2553,-178,-255
0,59999,283,-446,6046,-2610,-282,-258
1,60562,2923,-1018,5802,-2579,-180,-265
2,60642,2923,-1018,5802,-2579,-180,-265
0,63999,297,-478,6059,-2646,-290,-274
1,64562,2930,-1038,5790,-2614,-182,-277
2,64642,2930,-1038,5790,-2614,-182,-277
0,67999,317,-496,6045,-2682,-295,-282
1,68562,2947,-1062,5788,-2647,-188,-288
2,68642,2947,-1062,5788,-2647,-188,-288
0,71999,321,-519,6025,-2703,-299,-291
1,72562,2963,-1074,5797,-2675,-190,-298
2,72642,2963,-1074,5797,-2675,-190,-298
0,75999,323,-526,6014,-2737,-311,-301
1,76562,2972,-1094,5760,-2709,-197,-312
2,76642,2972,-1094,5760,-2709,-197,-312
0,79999,313,-574,6020,-2782,-319,-315
1,80562,2963,-1144,5704,-2755,-207,-324
2,80642,2963,-1144,5704,-2755,-207,-324
0,83999,311,-642,6000,-2825,-326,-325
1,84562,2958,-1206,5694,-2796,-207,-337
2,84642,2958,-1206,5694,-2796,-207,-337
0,87999,315,-700,5979,-2873,-333,-341
1,88562,2959,-1278,5639,-2843,-213,-353
2,88642,2959,-1278,5639,-2843,-213,-353
0,91999,325,-762,5988,-2919,-341,-355
1,92562,2960,-1351,5624,-2889,-220,-365
2,92642,2960,-1351,5624,-2889,-220,-365
0,95999,331,-858,6000,-2973,-350,-372
1,96562,2986,-1451,5588,-2945,-222,-388
2,96642,2986,-1451,5588,-2945,-222,-388
0,99999,350,-940,6029,-3048,-365,-395
1,100562,3032,-1562,5549,-3021,-237,-404
2,100642,3032,-1562,5549,-3021,-237,-404
0,103999,384,-983,6034,-3110,-370,-417
1,104562,3029,-1590,5624,-3077,-234,-431
2,104642,3029,-1590,5624,-3077,-234,-431
0,107999,343,-1019,6005,-3165,-379,-430
1,108562,3009,-1629,5588,-3130,-239,-443
2,108642,3009,-1629,5588,-3130,-239,-443
0,111999,339,-1070,5976,-3217,-393,-451
1,112562,2989,-1666,5565,-3185,-258,-468
2,112642,2989,-1666,5565,-3185,-258,-468
0,115999,332,-1107,5982,-3272,-403,-469
1,116562,2997,-1732,5575,-3233,-259,-483
2,116642,2997,-1732,5575,-3233,-259,-483
0,119999,318,-1177,5963,-3319,-413,-480
1,120562,2981,-1799,5578,-3282,-267,-500
2,120642,2981,-1799,5578,-3282,-267,-500
0,123999,352,-1269,5907,-3350,-428,-498
1,124562,2974,-1888,5596,-3306,-279,-514
2,124642,2974,-1888,5596,-3306,-279,-514
0,127999,365,-1348,5857,-3362,-431,-506
1,128562,2995,-1960,5574,-3329,-284,-526
2,128642,2995,-1960,5574,-3329,-284,-526
0,131999,374,-1431,5843,-3376,-443,-517
1,132562,3007,-2028,5555,-3335,-292,-534
2,132642,3007,-2028,5555,-3335,-292,-534
0,135999,394,-1475,5766,-3386,-452,-527
1,136562,2996,-2087,5532,-3345,-298,-545
2,136642,2996,-2087,5532,-3345,-298,-545
0,139999,420,-1522,5676,-3376,-460,-530
1,140562,3020,-2114,5486,-3332,-306,-551
2,140642,3020,-2114,5486,-3332,-306,-551
0,143999,443,-1541,5607,-3355,-465,-531
1,144562,3035,-2127,5501,-3304,-308,-556
2,144642,3035,-2127,5501,-3304,-308,-556
0,147999,486,-1561,5531,-3310,-464,-535
1,148562,3058,-2115,5496,-3259,-311,-558
2,148642,3058,-2115,5496,-3259,-311,-558
0,151999,508,-1551,5485,-3265,-473,-539
1,152562,3089,-2103,5448,-3211,-323,-558
2,152642,3089,-2103,5448,-3211,-323,-558
0,155999,538,-1537,5455,-3204,-476,-535
1,156562,3109,-2077,5480,-3149,-322,-561
2,156642,3109,-2077,5480,-3149,-322,-561
0,159999,570,-1532,5373,-3131,-473,-534
1,160562,3136,-2066,5467,-3081,-321,-560
2,160642,3136,-2066,5467,-3081,-321,-560
0,163999,591,-1527,5343,-3054,-479,-533
1,164562,3166,-2035,5440,-3007,-329,-558
2,164642,3166,-2035,5440,-3007,-329,-558
0,167999,629,-1526,5313,-2977,-480,-528
1,168562,3201,-2007,5411,-2936,-329,-557
2,168642,3201,-2007,5411,-2936,-329,-557
0,171999,662,-1518,5261,-2905,-474,-524
1,172562,3229,-1996,5345,-2862,-330,-552
2,172642,3229,-1996,5345,-2862,-330,-552
0,175999,714,-1516,5194,-2834,-476,-516
1,176562,3256,-1973,5289,-2791,-332,-547
2,176642,3256,-1973,5289,-2791,-332,-547
0,179999,757,-1486,5153,-2756,-473,-508
1,180562,3263,-1953,5281,-2716,-329,-532
2,180642,3263,-1953,5281,-2716,-329,-532
0,183999,775,-1460,5145,-2684,-464,-494
1,184562,3286,-1910,5244,-2641,-329,-527
2,184642,3286,-1910,5244,-2641,-329,-527
0,187999,812,-1437,5162,-2622,-463,-481
1,188562,3311,-1890,5203,-2583,-330,-516
2,188642,3311,-1890,5203,-2583,-330,-516
0,191999,824,-1421,5213,-2570,-462,-468
1,192562,3327,-1866,5192,-2533,-331,-501
2,192642,3327,-1866,5192,-2533,-331,-501
0,195999,819,-1447,5224,-2526,-458,-455
1,196562,3310,-1885,5167,-2493,-334,-489
2,196642,3310,-1885,5167,-2493,-334,-489
0,199999,798,-1529,5173,-2485,-464,-445
1,200562,3306,-1959,5093,-2456,-332,-478
2,200642,3306,-1959,5093,-2456,-332,-478
0,203999,805,-1641,5148,-2455,-460,-438
1,204562,3342,-2069,5023,-2427,-337,-468
2,204642,3342,-2069,5023,-2427,-337,-468
0,207999,827,-1701,5115,-2430,-460,-429
1,208562,3362,-2126,4959,-2402,-335,-459
2,208642,3362,-2126,4959,-2402,-335,-459
0,211999,857,-1721,5057,-2402,-452,-420
1,212562,3383,-2130,4907,-2377,-332,-453
2,212642,3383,-2130,4907,-2377,-332,-453
0,215999,897,-1721,5023,-2383,-448,-409
1,216562,3416,-2113,4853,-2354,-328,-438
2,216642,3416,-2113,4853,-2354,-328,-438
0,219999,915,-1705,4970,-2358,-438,-397
1,220562,3432,-2078,4792,-2334,-321,-429
2,220642,3432,-2078,4792,-2334,-321,-429
0,223999,918,-1698,4969,-2342,-431,-385
1,224562,3426,-2078,4785,-2314,-319,-415
2,224642,3426,-2078,4785,-2314,-319,-415
0,227999,901,-1703,4967,-2325,-416,-379
1,228562,3422,-2078,4782,-2298,-305,-404
2,228642,3422,-2078,4782,-2298,-305,-404
0,231999,864,-1740,4923,-2307,-408,-367
1,232562,3400,-2123,4746,-2281,-295,-397
2,232642,3400,-2123,4746,-2281,-295,-397
0,235999,829,-1803,4947,-2292,-400,-368
1,236562,3360,-2188,4695,-2269,-289,-392
2,236642,3360,-2188,4695,-2269,-289,-392
0,239999,790,-1847,4919,-2283,-386,-364
1,240562,3324,-2238,4722,-2253,-274,-390
2,240642,3324,-2238,4722,-2253,-274,-390
0,243999,754,-1865,4916,-2271,-376,-366
1,244562,3287,-2237,4671,-2248,-265,-391
2,244642,3287,-2237,4671,-2248,-265,-391
0,247999,713,-1848,4923,-2270,-365,-374
1,248562,3277,-2212,4630,-2243,-252,-395
2,248642,3277,-2212,4630,-2243,-252,-395
0,251999,690,-1844,4908,-2270,-346,-379
1,252562,3269,-2205,4589,-2249,-238,-401
2,252642,3269,-2205,4589,-2249,-238,-401
0,255999,663,-1812,4903,-2287,-332,-389
1,256562,3247,-2179,4574,-2263,-220,-409
