device,micros,ax,ay,az,gx,gy,gz
0,0,1301,-402,3222,1521,-48,219
1,563,4061,-523,2499,1474,-15,174
2,643,4061,-523,2499,1474,-15,174
0,4000,1335,-324,2806,1510,36,188
1,4563,4018,-331,2534,1463,16,151
2,4643,4018,-331,2534,1463,16,151
0,8000,1330,-154,2905,1478,33,170
1,8563,3901,-197,3018,1436,-68,154
2,8643,3901,-197,3018,1436,-68,154
0,12000,1472,-14,3356,1484,124,152
1,12563,4053,-158,3108,1440,109,140
2,12643,4053,-158,3108,1440,109,140
0,16000,1354,-18,3183,1358,183,123
1,16563,3978,-146,2761,1315,130,126
2,16643,3978,-146,2761,1315,130,126
0,20000,1443,-13,3188,1249,139,117
1,20563,4167,-143,2692,1228,74,117
2,20643,4167,-143,2692,1228,74,117
0,24000,7750,1029,8017,1123,421,136
1,24563,10080,155,8391,1153,30,224
2,24643,10080,155,8391,1153,30,224
0,28000,3525,317,4304,1092,-73,211
1,28563,5655,-98,4634,1107,28,173
2,28643,5655,-98,4634,1107,28,173
0,32000,2029,490,1982,1392,-1158,374
1,32563,4464,437,3291,1318,-1198,227
2,32643,4464,437,3291,1318,-1198,227
0,36000,2547,333,3649,1539,-663,376
1,36563,4980,189,4230,1464,-422,232
2,36643,4980,189,4230,1464,-422,232
0,40000,946,-147,3630,1347,-433,316
1,40563,3443,-220,3623,1306,-695,240
2,40643,3443,-220,3623,1306,-695,240
0,44000,582,-17,3105,1157,-598,300
1,44563,3239,-160,1880,1089,-606,199
2,44643,3239,-160,1880,1089,-606,199
0,48000,1071,-135,2823,1121,-513,277
1,48563,3630,-168,2820,1098,-485,180
2,48643,3630,-168,2820,1098,-485,180
0,52000,852,22,3361,1061,-353,249
1,52563,3502,-82,2680,989,-413,177
2,52643,3502,-82,2680,989,-413,177
0,56000,737,-93,2717,1029,-377,244
1,56563,3322,-125,2860,975,-391,168
2,56643,3322,-125,2860,975,-391,168
0,60000,868,-37,3140,957,-273,220
1,60563,3454,-176,2700,927,-336,165
2,60643,3454,-176,2700,927,-336,165
0,64000,651,-7,3308,834,-161,185
1,64563,3277,-94,2739,796,-186,143
2,64643,3277,-94,2739,796,-186,143
0,68000,675,-55,3021,794,-186,175
1,68563,3227,-63,2873,756,-226,133
2,68643,3227,-63,2873,756,-226,133
0,72000,631,185,3433,755,-113,166
1,72563,3122,70,3340,736,-135,135
2,72643,3122,70,3340,736,-135,135
0,76000,2205,212,4102,734,-32,144
1,76563,4967,5,4134,731,-93,121
2,76643,4967,5,4134,731,-93,121
0,80001,3552,413,4362,732,-21,136
1,80564,5912,94,4558,724,-96,134
2,80644,5912,94,4558,724,-96,134
0,84001,2603,259,4288,735,-191,175
1,84564,5342,51,3806,688,-163,105
2,84644,5342,51,3806,688,-163,105
0,88001,2509,220,4131,631,-643,230
1,88564,5193,12,3592,575,-827,131
2,88644,5193,12,3592,575,-827,131
0,92001,2752,278,3980,570,-705,233
1,92564,5137,24,3751,526,-695,123
2,92644,5137,24,3751,526,-695,123
0,96001,1780,93,3209,539,-697,220
1,96564,4396,-46,3097,507,-679,109
2,96644,4396,-46,3097,507,-679,109
0,100001,887,144,2974,562,-636,224
1,100564,3363,107,2899,520,-656,128
2,100644,3363,107,2899,520,-656,128
0,104001,502,27,2836,539,-629,212
1,104564,3103,18,2673,500,-639,114
2,104644,3103,18,2673,500,-639,114
0,108001,298,65,3098,533,-474,190
1,108564,2854,-19,3154,511,-450,114
2,108644,2854,-19,3154,511,-450,114
0,112001,274,53,2833,501,-442,179
1,112564,2843,25,2608,467,-479,115
2,112644,2843,25,2608,467,-479,115
0,116001,1114,84,3222,476,-389,180
1,116564,3683,10,3053,447,-380,116
2,116644,3683,10,3053,447,-380,116
0,120000,1697,47,3495,446,-291,168
1,120563,4294,-72,3334,423,-316,117
2,120643,4294,-72,3334,423,-316,117
0,124000,2434,22,3512,417,-289,157
1,124563,4978,-138,3637,409,-319,112
2,124643,4978,-138,3637,409,-319,112
0,128000,2038,116,3787,410,-321,167
1,128563,4638,-78,3611,387,-345,110
2,128643,4638,-78,3611,387,-345,110
0,132000,2236,106,3696,332,-560,188
1,132563,4841,-61,3228,291,-650,111
2,132643,4841,-61,3228,291,-650,111
0,136000,2296,9,3413,286,-687,199
1,136563,4882,-105,3172,248,-680,94
2,136643,4882,-105,3172,248,-680,94
0,140000,1810,7,3227,241,-731,202
1,140563,4399,-78,2926,198,-722,95
2,140643,4399,-78,2926,198,-722,95
0,144000,1337,-36,3024,198,-694,189
1,144563,3903,-93,2864,166,-687,87
2,144643,3903,-93,2864,166,-687,87
0,148000,1126,-83,2761,177,-639,176
1,148563,3705,-104,2684,144,-623,84
2,148643,3705,-104,2684,144,-623,84
0,152000,847,-97,2696,149,-585,164
1,152563,3449,-91,2538,118,-570,73
2,152643,3449,-91,2538,118,-570,73
0,156000,938,-61,2819,99,-512,146
1,156563,3545,-101,2554,74,-517,74
2,156643,3545,-101,2554,74,-517,74
0,160001,1084,-112,2905,57,-437,123
1,160564,3685,-140,2690,34,-416,57
2,160644,3685,-140,2690,34,-416,57
0,164001,1191,-76,2978,2,-402,110
1,164564,3788,-140,2760,-16,-408,52
2,164644,3788,-140,2760,-16,-408,52
0,168001,1643,-69,3255,-33,-403,100
1,168564,4265,-173,3075,-53,-412,44
2,168644,4265,-173,3075,-53,-412,44
0,172001,2100,-34,3484,-76,-434,100
1,172564,4723,-173,3231,-92,-443,37
2,172644,4723,-173,3231,-92,-443,37
0,176001,2054,-51,3336,-139,-572,103
1,176564,4655,-168,2979,-160,-576,26
2,176644,4655,-168,2979,-160,-576,26
0,180001,1892,-84,3171,-195,-705,115
1,180564,4498,-168,2880,-224,-695,14
2,180644,4498,-168,2880,-224,-695,14
0,184001,1680,-19,3218,-252,-726,105
1,184564,4252,-126,2947,-283,-703,10
2,184644,4252,-126,2947,-283,-703,10
0,188001,1380,-13,3215,-298,-681,93
1,188564,3970,-118,3068,-317,-645,1
2,188644,3970,-118,3068,-317,-645,1
0,192001,1050,-15,3141,-304,-653,83
1,192564,3638,-68,3073,-324,-634,-8
2,192644,3638,-68,3073,-324,-634,-8
0,196001,984,15,3202,-327,-626,69
1,196564,3555,-69,3046,-340,-615,-14
2,196644,3555,-69,3046,-340,-615,-14
0,200000,1009,44,3352,-366,-584,59
1,200563,3604,-45,3136,-382,-563,-14
2,200643,3604,-45,3136,-382,-563,-14
0,204000,1094,60,3478,-404,-563,54
1,204563,3683,-46,3281,-418,-544,-18
2,204643,3683,-46,3281,-418,-544,-18
0,208000,1191,79,3550,-427,-571,52
1,208563,3793,-49,3495,-439,-554,-25
2,208643,3793,-49,3495,-439,-554,-25
0,212000,1587,146,3820,-438,-603,47
1,212563,4205,-14,3764,-450,-594,-26
2,212643,4205,-14,3764,-450,-594,-26
