device,micros,ax,ay,az,gx,gy,gz
0,0,820,-1286,2734,-166,176,-39
1,563,3210,-1285,2841,-164,186,-12
2,643,3210,-1285,2841,-164,186,-12
0,4001,800,-1311,2717,-102,196,-10
1,4564,3213,-1296,2816,-99,200,14
2,4644,3213,-1296,2816,-99,200,14
0,8001,801,-1325,2713,-35,216,18
1,8564,3219,-1309,2801,-37,213,48
2,8644,3219,-1309,2801,-37,213,48
0,12001,802,-1327,2685,28,233,46
1,12564,3212,-1304,2783,26,226,78
2,12644,3212,-1304,2783,26,226,78
0,16001,794,-1349,2653,94,251,79
1,16564,3210,-1315,2781,93,240,110
2,16644,3210,-1315,2781,93,240,110
0,20001,782,-1346,2598,165,271,104
1,20564,3208,-1315,2724,162,252,143
2,20644,3208,-1315,2724,162,252,143
0,24001,792,-1372,2608,231,291,137
1,24564,3220,-1322,2698,228,267,169
2,24644,3220,-1322,2698,228,267,169
0,28001,799,-1353,2587,294,307,162
1,28564,3203,-1329,2675,285,282,200
2,28644,3203,-1329,2675,285,282,200
0,32001,781,-1367,2599,348,329,186
1,32564,3190,-1342,2661,343,291,222
2,32644,3190,-1342,2661,343,291,222
0,36001,776,-1376,2610,398,344,216
1,36564,3190,-1345,2604,389,311,254
2,36644,3190,-1345,2604,389,311,254
0,39998,790,-1378,2617,435,366,236
1,40561,3204,-1359,2593,432,325,277
2,40641,3204,-1359,2593,432,325,277
0,44001,765,-1406,2661,463,381,263
1,44564,3189,-1393,2548,454,345,305
2,44644,3189,-1393,2548,454,345,305
0,48001,650,-1509,2693,462,402,271
1,48564,3116,-1494,2356,445,375,318
2,48644,3116,-1494,2356,445,375,318
0,52001,577,-1612,2596,452,414,284
1,52564,3043,-1593,2414,437,362,331
2,52644,3043,-1593,2414,437,362,331
0,56001,563,-1618,2704,463,421,296
1,56564,3051,-1610,2574,450,371,346
2,56644,3051,-1610,2574,450,371,346
0,60001,620,-1582,2816,471,452,307
1,60564,3108,-1583,2660,462,395,357
2,60644,3108,-1583,2660,462,395,357
0,64001,606,-1578,2934,472,441,319
1,64564,3126,-1595,2682,460,383,370
2,64644,3126,-1595,2682,460,383,370
0,68001,583,-1563,2942,462,432,325
1,68564,3106,-1593,2639,445,398,374
2,68644,3106,-1593,2639,445,398,374
0,72001,567,-1616,2810,440,443,335
1,72564,3063,-1609,2554,427,377,382
2,72644,3063,-1609,2554,427,377,382
0,76001,626,-1565,2763,466,444,346
1,76564,3093,-1573,2701,457,384,395
2,76644,3093,-1573,2701,457,384,395
0,79998,602,-1551,2968,472,444,358
1,80561,3110,-1569,2711,462,390,410
2,80641,3110,-1569,2711,462,390,410
0,84001,566,-1607,2979,458,414,369
1,84564,3089,-1623,2657,442,362,412
2,84644,3089,-1623,2657,442,362,412
0,88001,576,-1714,3285,422,365,375
1,88564,3153,-1791,2836,391,309,409
2,88644,3153,-1791,2836,391,309,409
0,92001,581,-2025,3836,355,355,358
1,92564,3228,-2183,3298,331,312,384
2,92644,3228,-2183,3298,331,312,384
0,96001,518,-2240,3887,331,300,333
1,96564,3184,-2378,3502,318,262,358
2,96644,3184,-2378,3502,318,262,358
0,100001,495,-2176,3583,336,228,313
1,100564,3129,-2252,3320,321,186,334
2,100644,3129,-2252,3320,321,186,334
0,104001,554,-1970,3033,354,240,300
1,104564,3140,-1972,2868,339,176,317
2,104644,3140,-1972,2868,339,176,317
0,108001,577,-1735,2522,347,221,296
1,108564,3148,-1697,2151,328,167,312
2,108644,3148,-1697,2151,328,167,312
0,112001,615,-1566,2127,323,191,300
1,112564,3123,-1477,1827,309,155,317
2,112644,3123,-1477,1827,309,155,317
0,116001,700,-1411,1971,332,224,320
1,116564,3137,-1297,1815,315,193,348
2,116644,3137,-1297,1815,315,193,348
0,119998,725,-1361,1922,327,270,344
1,120561,3148,-1256,1706,313,221,372
2,120641,3148,-1256,1706,313,221,372
0,124001,730,-1405,1983,283,293,361
1,124564,3164,-1295,1576,264,246,396
2,124644,3164,-1295,1576,264,246,396
0,128001,729,-1408,2048,220,324,373
1,128564,3190,-1311,1524,203,291,409
2,128644,3190,-1311,1524,203,291,409
0,132001,716,-1438,1998,156,356,387
1,132564,3165,-1339,1513,136,317,431
2,132644,3165,-1339,1513,136,317,431
0,136001,707,-1491,2090,93,385,400
1,136564,3164,-1411,1635,73,332,449
2,136644,3164,-1411,1635,73,332,449
0,140001,707,-1550,2240,26,413,407
1,140564,3211,-1476,1711,10,364,457
2,140644,3211,-1476,1711,10,364,457
0,144001,681,-1587,2295,-62,441,402
1,144564,3227,-1514,1639,-80,390,456
2,144644,3227,-1514,1639,-80,390,456
0,148001,654,-1561,2227,-155,448,396
1,148564,3206,-1494,1603,-169,400,453
2,148644,3206,-1494,1603,-169,400,453
0,152001,667,-1518,2132,-223,464,396
1,152564,3192,-1434,1669,-230,423,460
2,152644,3192,-1434,1669,-230,423,460
0,156001,660,-1474,2234,-285,484,401
1,156564,3177,-1426,1759,-292,433,464
2,156644,3177,-1426,1759,-292,433,464
0,159998,668,-1471,2338,-348,496,400
1,160561,3196,-1411,1846,-355,449,468
2,160641,3196,-1411,1846,-355,449,468
0,164001,635,-1450,2356,-421,513,399
1,164564,3180,-1390,1861,-429,471,467
2,164644,3180,-1390,1861,-429,471,467
0,168001,623,-1402,2311,-492,515,401
1,168564,3136,-1344,1832,-494,466,477
