device,micros,ax,ay,az,gx,gy,gz
0,0,597,385,6019,-585,-805,-281
1,563,3184,-78,6216,-597,-730,-382
2,643,3184,-78,6216,-597,-730,-382
0,4000,561,382,6039,-543,-813,-278
1,4563,3184,-76,6236,-555,-742,-385
2,4643,3184,-76,6236,-555,-742,-385
0,8000,557,380,6105,-500,-823,-282
1,8562,3164,-77,6236,-520,-750,-385
2,8643,3164,-77,6236,-520,-750,-385
0,12000,558,357,6144,-477,-833,-282
1,12563,3193,-112,6272,-493,-761,-393
2,12643,3193,-112,6272,-493,-761,-393
0,16000,565,354,6198,-452,-840,-286
1,16562,3206,-132,6272,-472,-771,-394
2,16642,3206,-132,6272,-472,-771,-394
0,20001,585,321,6301,-444,-849,-288
1,20563,3230,-173,6316,-460,-780,-404
2,20644,3230,-173,6316,-460,-780,-404
0,24000,614,289,6357,-444,-865,-295
1,24563,3253,-188,6308,-468,-794,-406
2,24643,3253,-188,6308,-468,-794,-406
0,28000,644,262,6404,-465,-877,-302
1,28563,3286,-240,6300,-486,-805,-420
2,28643,3286,-240,6300,-486,-805,-420
0,32000,638,227,6447,-489,-892,-310
1,32562,3307,-269,6298,-514,-815,-427
2,32643,3307,-269,6298,-514,-815,-427
0,36000,654,198,6497,-526,-905,-324
1,36563,3315,-315,6302,-548,-823,-442
2,36643,3315,-315,6302,-548,-823,-442
0,40000,666,172,6515,-569,-919,-331
1,40563,3323,-333,6306,-593,-835,-452
2,40643,3323,-333,6306,-593,-835,-452
0,44000,679,209,6525,-611,-933,-341
1,44563,3341,-327,6310,-639,-846,-466
2,44643,3341,-327,6310,-639,-846,-466
0,48000,702,210,6540,-659,-947,-356
1,48562,3371,-328,6304,-682,-865,-472
2,48643,3371,-328,6304,-682,-865,-472
0,52000,729,204,6543,-707,-964,-363
1,52563,3382,-331,6288,-734,-872,-487
2,52643,3382,-331,6288,-734,-872,-487
0,56000,757,174,6529,-755,-978,-373
1,56562,3425,-372,6299,-781,-879,-500
2,56642,3425,-372,6299,-781,-879,-500
0,60001,797,154,6516,-806,-989,-383
1,60563,3441,-377,6297,-825,-889,-510
2,60644,3441,-377,6297,-825,-889,-510
0,64000,790,147,6500,-849,-1010,-392
1,64563,3439,-389,6277,-870,-905,-524
2,64643,3439,-389,6277,-870,-905,-524
0,68000,793,142,6452,-885,-1017,-403
1,68563,3450,-389,6268,-905,-915,-530
