device,micros,ax,ay,az,gx,gy,gz
0,0,447,-698,1771,407,1155,389
1,563,2987,-570,1570,406,1074,533
2,643,2987,-570,1570,406,1074,533
0,4000,449,-676,1776,377,1152,387
1,4563,2997,-543,1520,372,1068,537
2,4643,2997,-543,1520,372,1068,537
0,8000,482,-650,1725,348,1151,394
1,8563,3011,-507,1529,353,1067,546
2,8643,3011,-507,1529,353,1067,546
0,12000,500,-617,1732,325,1153,404
1,12563,3005,-472,1519,328,1075,550
2,12643,3005,-472,1519,328,1075,550
0,16000,510,-596,1675,303,1152,411
1,16563,3000,-446,1533,313,1062,561
2,16643,3000,-446,1533,313,1062,561
0,20000,511,-568,1685,293,1162,420
1,20563,3019,-435,1549,302,1078,570
2,20643,3019,-435,1549,302,1078,570
0,24000,497,-545,1670,283,1165,430
1,24563,2997,-418,1524,290,1071,586
2,24643,2997,-418,1524,290,1071,586
0,28000,511,-549,1696,275,1160,446
1,28563,2982,-398,1584,284,1072,602
2,28643,2982,-398,1584,284,1072,602
0,32000,497,-528,1686,266,1171,459
1,32563,2968,-401,1651,277,1083,612
2,32643,2968,-401,1651,277,1083,612
0,36000,458,-536,1705,266,1169,475
1,36563,2970,-399,1681,271,1082,625
2,36643,2970,-399,1681,271,1082,625
0,40001,453,-545,1801,268,1173,488
1,40564,2945,-438,1765,278,1083,642
2,40644,2945,-438,1765,278,1083,642
0,44002,423,-549,1907,270,1175,501
1,44564,2923,-455,1867,283,1082,654
2,44645,2923,-455,1867,283,1082,654
0,48002,421,-571,1962,275,1163,514
1,48564,2912,-473,1980,285,1064,668
2,48645,2912,-473,1980,285,1064,668
0,52002,434,-595,2037,278,1165,524
1,52564,2920,-519,2023,284,1067,674
2,52645,2920,-519,2023,284,1067,674
0,56002,441,-637,2080,276,1145,536
1,56564,2960,-569,2016,284,1041,685
2,56645,2960,-569,2016,284,1041,685
0,60002,444,-660,2216,273,1134,546
1,60564,2966,-619,2132,282,1038,690
2,60645,2966,-619,2132,282,1038,690
0,64002,452,-674,2329,271,1121,549
1,64564,2995,-642,2222,276,1018,696
2,64645,2995,-642,2222,276,1018,696
0,68002,465,-723,2370,261,1099,552
1,68564,3043,-674,2225,269,1000,695
2,68645,3043,-674,2225,269,1000,695
0,72002,515,-752,2465,246,1089,553
1,72564,3049,-727,2273,249,997,689
2,72645,3049,-727,2273,249,997,689
0,76002,516,-762,2499,215,1074,553
1,76564,3107,-750,2237,219,977,690
2,76645,3107,-750,2237,219,977,690
0,80000,535,-798,2436,180,1065,548
1,80563,3105,-767,2140,183,976,685
2,80643,3105,-767,2140,183,976,685
0,84001,562,-813,2395,138,1053,548
1,84564,3133,-772,2050,139,956,686
2,84644,3133,-772,2050,139,956,686
0,88002,582,-812,2371,85,1039,546
1,88564,3153,-767,2034,89,949,680
2,88645,3153,-767,2034,89,949,680
0,92002,585,-800,2398,25,1038,541
1,92564,3166,-756,2004,30,950,679
2,92645,3166,-756,2004,30,950,679
0,96002,608,-780,2368,-44,1037,533
1,96564,3172,-737,1962,-40,949,672
2,96645,3172,-737,1962,-40,949,672
0,100002,605,-782,2345,-114,1033,533
1,100564,3158,-726,1934,-108,945,670
2,100645,3158,-726,1934,-108,945,670
0,104002,598,-750,2343,-184,1040,531
1,104564,3103,-679,1920,-175,952,669
2,104645,3103,-679,1920,-175,952,669
0,108002,551,-776,2038,-235,1056,525
1,108564,3086,-694,1669,-230,980,663
2,108645,3086,-694,1669,-230,980,663
0,112002,501,-728,2457,-330,1000,525
1,112564,3096,-701,2020,-323,914,663
2,112645,3096,-701,2020,-323,914,663
0,116002,581,-688,2444,-378,1063,519
1,116564,3098,-630,2154,-360,1003,658
2,116645,3098,-630,2154,-360,1003,658
0,120000,557,-598,2309,-436,1051,520
1,120563,3076,-513,1923,-426,968,665
2,120643,3076,-513,1923,-426,968,665
0,124001,562,-574,2204,-483,1041,524
1,124564,3074,-528,2002,-468,948,667
2,124644,3074,-528,2002,-468,948,667
0,128002,546,-560,2337,-531,1058,527
1,128564,3087,-512,2043,-515,989,673
2,128645,3087,-512,2043,-515,989,673
0,132002,542,-532,2320,-582,1053,524
1,132564,3069,-483,2063,-562,976,674
2,132645,3069,-483,2063,-562,976,674
0,136002,525,-550,2307,-609,1051,529
1,136564,3054,-514,2178,-585,982,680
2,136645,3054,-514,2178,-585,982,680
0,140002,516,-597,2319,-624,1065,535
1,140564,3032,-570,2158,-603,991,678
2,140645,3032,-570,2158,-603,991,678
0,144002,490,-628,2354,-658,1064,528
1,144564,3044,-597,2118,-637,984,676
2,144645,3044,-597,2118,-637,984,676
0,148002,486,-661,2322,-683,1070,521
1,148564,3055,-617,2141,-661,995,671
2,148645,3055,-617,2141,-661,995,671
0,152002,502,-666,2286,-694,1074,515
1,152564,3036,-605,2166,-667,1000,664
2,152645,3036,-605,2166,-667,1000,664
0,156002,500,-651,2260,-696,1081,511
1,156564,3024,-603,2224,-665,1004,665
2,156645,3024,-603,2224,-665,1004,665
0,160000,485,-660,2266,-674,1081,513
1,160563,3012,-616,2303,-647,1005,663
2,160643,3012,-616,2303,-647,1005,663
0,164001,459,-649,2348,-658,1086,507
1,164564,2988,-602,2336,-628,1012,663
2,164644,2988,-602,2336,-628,1012,663
0,168002,446,-636,2343,-633,1092,509
1,168564,2963,-576,2411,-601,1013,662
2,168645,2963,-576,2411,-601,1013,662
0,172002,435,-601,2292,-586,1091,516
1,172564,2929,-546,2450,-550,1013,670
2,172645,2929,-546,2450,-550,1013,670
0,176002,422,-602,2277,-531,1101,523
1,176564,2939,-555,2443,-499,1016,680
2,176645,2939,-555,2443,-499,1016,680
0,180002,423,-620,2265,-466,1106,531
1,180564,2940,-572,2477,-439,1022,680
2,180645,2940,-572,2477,-439,1022,680
0,184002,410,-631,2291,-400,1108,535
1,184564,2929,-574,2531,-368,1025,691
2,184645,2929,-574,2531,-368,1025,691
0,188002,398,-635,2359,-324,1118,544
1,188564,2920,-594,2629,-292,1033,694
2,188645,2920,-594,2629,-292,1033,694
0,192002,404,-620,2382,-237,1134,550
1,192564,2892,-569,2720,-205,1047,702
2,192645,2892,-569,2720,-205,1047,702
0,196002,390,-605,2433,-152,1137,558
1,196564,2899,-567,2737,-121,1047,710
2,196645,2899,-567,2737,-121,1047,710
0,200000,394,-579,2502,-70,1146,562
1,200563,2901,-556,2785,-43,1054,716
2,200643,2901,-556,2785,-43,1054,716
0,204001,387,-577,2528,10,1156,569
1,204564,2903,-553,2820,36,1064,720
2,204644,2903,-553,2820,36,1064,720
0,208002,399,-576,2525,87,1167,572
1,208564,2913,-550,2818,111,1075,727
2,208645,2913,-550,2818,111,1075,727
0,212002,390,-585,2578,159,1178,573
1,212564,2920,-586,2832,182,1077,729
2,212645,2920,-586,2832,182,1077,729
0,216002,375,-612,2679,219,1190,576
1,216564,2931,-614,2881,239,1092,728
2,216645,2931,-614,2881,239,1092,728
0,220002,355,-606,2735,269,1203,571
1,220564,2927,-605,2875,282,1103,724
2,220645,2927,-605,2875,282,1103,724
0,224002,362,-590,2781,311,1210,565
1,224564,2940,-586,2877,326,1110,720
2,224645,2940,-586,2877,326,1110,720
0,228002,363,-595,2810,348,1225,563
1,228564,2940,-582,2887,363,1124,721
2,228645,2940,-582,2887,363,1124,721
0,232002,349,-576,2897,371,1239,553
1,232564,2947,-603,2922,384,1139,710
2,232645,2947,-603,2922,384,1139,710
0,236002,353,-599,2920,388,1252,544
1,236564,2947,-615,2931,397,1151,705
2,236645,2947,-615,2931,397,1151,705
0,240000,327,-596,2990,401,1259,534
1,240563,2945,-629,2927,406,1163,693
2,240643,2945,-629,2927,406,1163,693
0,244001,340,-595,3031,408,1268,523
1,244564,2965,-635,3000,420,1172,690
2,244644,2965,-635,3000,420,1172,690
0,248002,343,-588,3043,416,1275,511
1,248564,2937,-620,2986,430,1180,671
2,248645,2937,-620,2986,430,1180,671
0,252002,343,-572,3028,420,1273,501
1,252564,2937,-621,2939,430,1176,663
2,252645,2937,-621,2939,430,1176,663
0,256002,312,-586,3056,415,1282,488
1,256564,2921,-619,2956,418,1188,648
2,256645,2921,-619,2956,418,1188,648
0,260002,309,-567,3088,397,1285,471
1,260564,2901,-612,2953,404,1198,633
2,260645,2901,-612,2953,404,1198,633
0,264002,266,-568,3174,372,1288,458
1,264564,2892,-613,2956,380,1205,625
2,264645,2892,-613,2956,380,1205,625
0,268002,255,-529,3208,339,1292,448
1,268564,2876,-618,2955,346,1204,612
2,268645,2876,-618,2955,346,1204,612
0,272002,247,-530,3231,293,1298,427
1,272564,2850,-601,2951,294,1214,600
2,272645,2850,-601,2951,294,1214,600
0,276002,240,-541,3229,235,1305,417
1,276564,2871,-582,2901,240,1225,583
2,276645,2871,-582,2901,240,1225,583
0,280000,227,-550,3250,179,1318,402
1,280563,2840,-596,2817,180,1241,578
2,280643,2840,-596,2817,180,1241,578
0,284001,226,-520,3250,108,1315,389
1,284564,2835,-586,2888,111,1236,567
2,284644,2835,-586,2888,111,1236,567
0,288002,210,-538,3298,36,1339,381
1,288564,2816,-625,2907,46,1271,555
2,288645,2816,-625,2907,46,1271,555
0,292002,208,-549,3291,-33,1339,366
1,292564,2809,-617,2898,-28,1262,545
2,292645,2809,-617,2898,-28,1262,545
0,296002,218,-546,3325,-108,1351,354
1,296564,2802,-640,2947,-98,1280,535
2,296645,2802,-640,2947,-98,1280,535
0,300002,212,-568,3315,-176,1368,340
1,300564,2818,-642,2896,-160,1299,519
2,300645,2818,-642,2896,-160,1299,519
0,304002,236,-562,3276,-255,1374,326
1,304564,2823,-633,2879,-241,1304,511
2,304645,2823,-633,2879,-241,1304,511
0,308002,223,-554,3393,-335,1405,309
1,308564,2822,-655,2951,-317,1352,502
2,308645,2822,-655,2951,-317,1352,502
0,312002,204,-565,3419,-410,1420,293
1,312564,2808,-642,2992,-393,1363,483
2,312645,2808,-642,2992,-393,1363,483
0,316002,199,-561,3426,-485,1445,273
1,316564,2797,-653,3042,-464,1394,472
2,316645,2797,-653,3042,-464,1394,472
0,320000,176,-567,3430,-549,1475,259
1,320563,2784,-661,3077,-526,1430,457
2,320643,2784,-661,3077,-526,1430,457
0,324001,159,-574,3420,-611,1498,243
1,324564,2753,-665,3080,-585,1457,451
2,324644,2753,-665,3080,-585,1457,451
0,328002,158,-571,3409,-666,1529,230
1,328564,2766,-664,3123,-635,1487,438
2,328645,2766,-664,3123,-635,1487,438
0,332002,163,-588,3384,-708,1555,219
1,332564,2737,-642,3142,-677,1511,431
2,332645,2737,-642,3142,-677,1511,431
0,336002,174,-569,3370,-736,1583,206
1,336564,2749,-658,3156,-701,1545,425
2,336645,2749,-658,3156,-701,1545,425
0,340002,193,-576,3346,-760,1607,194
1,340564,2745,-650,3169,-723,1569,419
2,340645,2745,-650,3169,-723,1569,419
0,344002,215,-559,3327,-779,1637,189
1,344564,2762,-652,3180,-741,1621,412
2,344645,2762,-652,3180,-741,1621,412
0,348002,222,-564,3358,-796,1656,176
1,348564,2778,-660,3194,-757,1622,410
2,348645,2778,-660,3194,-757,1622,410
0,352002,253,-575,3358,-806,1680,168
1,352564,2807,-678,3254,-764,1621,401
2,352645,2807,-678,3254,-764,1621,401
0,356002,262,-577,3336,-809,1704,161
1,356564,2814,-647,3273,-766,1633,398
2,356645,2814,-647,3273,-766,1633,398
0,360000,292,-579,3328,-805,1722,155
1,360563,2856,-682,3287,-758,1655,394
2,360643,2856,-682,3287,-758,1655,394
0,364001,310,-605,3372,-796,1741,146
1,364564,2865,-679,3336,-746,1703,386
2,364644,2865,-679,3336,-746,1703,386
0,368002,305,-615,3396,-786,1758,133
1,368564,2865,-709,3327,-741,1721,378
2,368645,2865,-709,3327,-741,1721,378
0,372002,318,-611,3328,-769,1781,124
1,372564,2891,-672,3322,-720,1735,371
2,372645,2891,-672,3322,-720,1735,371
0,376002,333,-549,3283,-745,1791,119
1,376564,2897,-626,3315,-698,1751,372
2,376645,2897,-626,3315,-698,1751,372
0,380002,362,-547,3283,-720,1810,115
1,380564,2908,-633,3301,-676,1775,366
2,380645,2908,-633,3301,-676,1775,366
0,384002,343,-573,3267,-704,1839,104
1,384564,2927,-656,3251,-660,1796,358
2,384645,2927,-656,3251,-660,1796,358
0,388002,387,-556,3244,-682,1849,101
1,388564,2934,-616,3266,-636,1808,358
2,388645,2934,-616,3266,-636,1808,358
0,392002,414,-521,3255,-662,1870,96
1,392564,2952,-587,3292,-611,1830,354
2,392645,2952,-587,3292,-611,1830,354
0,396002,424,-525,3296,-640,1888,85
1,396564,2970,-615,3269,-596,1854,349
2,396645,2970,-615,3269,-596,1854,349
0,400000,433,-524,3291,-635,1905,77
1,400563,2978,-604,3247,-588,1861,342
2,400643,2978,-604,3247,-588,1861,342
0,404001,447,-524,3312,-630,1920,70
1,404564,3010,-601,3258,-584,1885,337
2,404644,3010,-601,3258,-584,1885,337
0,408002,464,-491,3285,-627,1941,64
1,408564,3016,-570,3198,-580,1902,331
2,408645,3016,-570,3198,-580,1902,331
0,412002,496,-471,3265,-631,1955,58
1,412564,3050,-528,3183,-586,1914,329
2,412645,3050,-528,3183,-586,1914,329
0,416002,493,-442,3294,-640,1971,56
1,416564,3064,-515,3174,-598,1933,325
2,416645,3064,-515,3174,-598,1933,325
0,420002,518,-439,3330,-660,1988,49
1,420564,3079,-520,3169,-621,1949,322
2,420645,3079,-520,3169,-621,1949,322
0,424002,537,-399,3297,-676,2004,43
1,424564,3089,-472,3174,-631,1970,324
2,424645,3089,-472,3174,-631,1970,324
0,428002,562,-386,3327,-696,2008,40
1,428564,3117,-478,3208,-651,1973,322
2,428645,3117,-478,3208,-651,1973,322
0,432002,600,-411,3361,-715,2027,38
1,432564,3144,-478,3211,-669,1992,319
2,432645,3144,-478,3211,-669,1992,319
0,436002,630,-365,3330,-737,2044,34
1,436564,3192,-447,3173,-688,2010,314
2,436645,3192,-447,3173,-688,2010,314
0,440000,673,-356,3314,-758,2051,34
1,440563,3204,-469,3133,-712,2012,317
2,440643,3204,-469,3133,-712,2012,317
0,444001,684,-376,3281,-776,2060,27
1,444564,3215,-446,3146,-732,2028,312
2,444644,3215,-446,3146,-732,2028,312
0,448002,704,-331,3274,-791,2078,24
1,448564,3226,-395,3117,-741,2046,320
2,448645,3226,-395,3117,-741,2046,320
0,452002,711,-297,3205,-811,2087,30
1,452564,3215,-369,3048,-761,2057,317
2,452645,3215,-369,3048,-761,2057,317
0,456002,702,-291,3199,-831,2098,29
1,456564,3227,-379,3050,-785,2068,321
2,456645,3227,-379,3050,-785,2068,321
0,460002,720,-275,3271,-860,2116,28
1,460564,3263,-353,3088,-811,2084,322
2,460645,3263,-353,3088,-811,2084,322
0,464002,755,-283,3282,-886,2120,29
1,464564,3287,-386,3129,-836,2090,329
2,464645,3287,-386,3129,-836,2090,329
0,468002,774,-281,3241,-915,2137,31
1,468564,3329,-370,3105,-862,2101,327
2,468645,3329,-370,3105,-862,2101,327
0,472002,814,-267,3271,-946,2147,33
1,472564,3371,-346,3046,-897,2111,326
2,472645,3371,-346,3046,-897,2111,326
0,476002,877,-263,3347,-980,2139,31
1,476564,3428,-377,3132,-927,2104,333
2,476645,3428,-377,3132,-927,2104,333
0,480000,915,-288,3390,-1018,2146,33
1,480563,3462,-411,3227,-968,2120,326
2,480643,3462,-411,3227,-968,2120,326
0,484001,943,-298,3442,-1049,2150,28
1,484564,3481,-418,3242,-998,2120,328
2,484644,3481,-418,3242,-998,2120,328
0,488002,988,-274,3401,-1080,2147,29
1,488564,3489,-383,3205,-1028,2115,327
2,488645,3489,-383,3205,-1028,2115,327
0,492002,1020,-256,3327,-1109,2143,27
1,492564,3513,-374,3177,-1053,2112,335
2,492645,3513,-374,3177,-1053,2112,335
0,496002,1010,-256,3382,-1143,2136,31
1,496564,3533,-370,3169,-1091,2106,333
2,496645,3533,-370,3169,-1091,2106,333
0,500002,1042,-208,3374,-1172,2138,31
1,500564,3545,-342,3255,-1113,2106,333
2,500645,3545,-342,3255,-1113,2106,333
0,504002,1061,-189,3373,-1193,2125,40
1,504564,3569,-329,3266,-1135,2093,341
2,504645,3569,-329,3266,-1135,2093,341
0,508002,1080,-203,3460,-1220,2113,41
1,508564,3591,-356,3315,-1159,2083,345
2,508645,3591,-356,3315,-1159,2083,345
0,512002,1110,-216,3472,-1239,2102,46
1,512564,3632,-361,3386,-1184,2069,344
2,512645,3632,-361,3386,-1184,2069,344
0,516002,1133,-217,3552,-1268,2080,49
1,516564,3673,-379,3369,-1211,2055,344
2,516645,3673,-379,3369,-1211,2055,344
0,520002,1147,-258,3579,-1293,2068,49
1,520564,3701,-428,3413,-1232,2037,345
2,520645,3701,-428,3413,-1232,2037,345
0,524002,1200,-250,3532,-1311,2048,50
1,524564,3734,-383,3402,-1250,2012,343
2,524645,3734,-383,3402,-1250,2012,343
0,528002,1231,-233,3517,-1324,2025,55
1,528564,3739,-393,3403,-1267,1994,344
2,528645,3739,-393,3403,-1267,1994,344
0,532002,1237,-240,3600,-1353,2002,56
1,532564,3772,-420,3428,-1292,1977,337
2,532645,3772,-420,3428,-1292,1977,337
0,536002,1272,-234,3623,-1369,1982,58
1,536564,3784,-396,3504,-1308,1958,339
2,536645,3784,-396,3504,-1308,1958,339
0,540002,1291,-212,3547,-1387,1963,59
1,540564,3781,-357,3435,-1322,1936,337
2,540645,3781,-357,3435,-1322,1936,337
0,544002,1320,-177,3451,-1390,1945,65
1,544564,3811,-319,3351,-1335,1916,346
2,544645,3811,-319,3351,-1335,1916,346
0,548002,1323,-161,3378,-1409,1928,68
1,548564,3853,-292,3238,-1349,1902,347
2,548645,3853,-292,3238,-1349,1902,347
0,552002,1360,-171,3299,-1427,1926,71
1,552564,3873,-309,3133,-1370,1902,347
2,552645,3873,-309,3133,-1370,1902,347
0,556002,1360,-183,3196,-1451,1917,76
1,556564,3891,-284,3023,-1392,1895,352
2,556645,3891,-284,3023,-1392,1895,352
0,560000,1436,-145,3057,-1465,1921,78
1,560563,3929,-230,3014,-1404,1888,361
2,560643,3929,-230,3014,-1404,1888,361
0,564001,1480,-76,3099,-1474,1915,92
1,564564,3990,-206,2991,-1419,1888,370
2,564644,3990,-206,2991,-1419,1888,370
0,568002,1542,-65,3142,-1496,1927,99
1,568564,4066,-198,3027,-1435,1900,373
2,568645,4066,-198,3027,-1435,1900,373
0,572002,1576,-91,3087,-1510,1929,107
1,572564,4061,-195,2983,-1450,1901,388
2,572645,4061,-195,2983,-1450,1901,388
0,576002,1612,-111,3018,-1521,1930,119
1,576564,4090,-201,2917,-1459,1901,396
2,576645,4090,-201,2917,-1459,1901,396
0,580002,1654,-112,2982,-1524,1930,124
1,580564,4116,-233,2973,-1461,1896,407
2,580645,4116,-233,2973,-1461,1896,407
0,584002,1682,-128,3019,-1527,1934,133
1,584564,4135,-246,2983,-1464,1907,411
2,584645,4135,-246,2983,-1464,1907,411
0,588002,1712,-132,3052,-1530,1943,139
1,588564,4187,-255,3029,-1464,1905,420
2,588645,4187,-255,3029,-1464,1905,420
0,592002,1736,-164,3106,-1529,1930,147
1,592564,4231,-286,3094,-1461,1898,425
2,592645,4231,-286,3094,-1461,1898,425
0,596002,1767,-183,3110,-1512,1930,149
1,596564,4265,-312,3172,-1445,1895,428
2,596645,4265,-312,3172,-1445,1895,428
0,600000,1770,-184,3118,-1488,1916,156
1,600563,4274,-300,3236,-1425,1876,433
2,600643,4274,-300,3236,-1425,1876,433
0,604001,1778,-150,3204,-1457,1901,165
1,604564,4277,-299,3356,-1387,1862,439
2,604644,4277,-299,3356,-1387,1862,439
0,608002,1782,-106,3215,-1408,1891,170
1,608564,4271,-212,3387,-1342,1851,444
2,608645,4271,-212,3387,-1342,1851,444
0,612002,1777,-60,3209,-1355,1870,185
1,612564,4282,-175,3457,-1288,1829,455
2,612645,4282,-175,3457,-1288,1829,455
0,616002,1785,-81,3217,-1296,1849,200
1,616564,4284,-220,3476,-1230,1803,466
2,616645,4284,-220,3476,-1230,1803,466
0,620002,1778,-105,3220,-1224,1830,207
1,620564,4285,-234,3518,-1161,1786,468
2,620645,4285,-234,3518,-1161,1786,468
0,624002,1777,-100,3219,-1149,1810,217
1,624564,4268,-226,3500,-1088,1752,474
2,624645,4268,-226,3500,-1088,1752,474
0,628002,1752,-120,3235,-1075,1785,225
1,628564,4278,-237,3543,-1014,1731,479
2,628645,4278,-237,3543,-1014,1731,479
0,632002,1765,-143,3264,-1000,1765,228
1,632564,4287,-277,3554,-940,1711,481
2,632645,4287,-277,3554,-940,1711,481
0,636002,1766,-167,3205,-922,1746,231
1,636564,4300,-283,3476,-870,1692,478
2,636645,4300,-283,3476,-870,1692,478
0,640000,1760,-171,3204,-849,1715,235
1,640563,4310,-263,3502,-796,1659,475
2,640643,4310,-263,3502,-796,1659,475
0,644001,1785,-150,3241,-779,1704,238
1,644564,4330,-262,3531,-727,1668,477
2,644644,4330,-262,3531,-727,1668,477
0,648002,1785,-152,3221,-722,1683,235
1,648564,4351,-270,3417,-668,1604,470
2,648645,4351,-270,3417,-668,1604,470
0,652002,1782,-191,3238,-672,1664,232
1,652564,4378,-295,3367,-626,1612,468
2,652645,4378,-295,3367,-626,1612,468
0,656002,1801,-199,3257,-634,1645,231
1,656564,4384,-309,3362,-594,1608,458
2,656645,4384,-309,3362,-594,1608,458
0,660002,1804,-201,3273,-607,1626,228
1,660564,4390,-315,3354,-568,1604,452
2,660645,4390,-315,3354,-568,1604,452
0,664002,1806,-209,3364,-593,1606,223
1,664564,4404,-325,3410,-553,1551,443
2,664645,4404,-325,3410,-553,1551,443
0,668002,1802,-198,3407,-593,1592,217
1,668564,4394,-324,3367,-554,1549,435
2,668645,4394,-324,3367,-554,1549,435
0,672002,1813,-172,3417,-604,1572,210
1,672564,4380,-276,3312,-566,1522,426
2,672645,4380,-276,3312,-566,1522,426
0,676002,1801,-142,3386,-622,1554,207
1,676564,4363,-253,3218,-584,1507,420
2,676645,4363,-253,3218,-584,1507,420
0,680000,1800,-97,3308,-653,1537,204
1,680563,4350,-209,3090,-623,1499,417
2,680643,4350,-209,3090,-623,1499,417
0,684001,1771,-129,3381,-703,1513,200
1,684564,4378,-283,3097,-676,1476,408
