device,micros,ax,ay,az,gx,gy,gz
0,0,-514,-2038,3233,372,1764,227
1,564,2049,-2065,3000,398,1691,452
2,644,2049,-2065,3000,398,1691,452
0,4001,-525,-2024,3230,377,1761,215
1,4565,2065,-2057,2999,404,1679,440
2,4645,2065,-2057,2999,404,1679,440
0,8000,-536,-2006,3230,386,1758,197
1,8565,2066,-2042,3005,415,1666,425
2,8645,2066,-2042,3005,415,1666,425
0,12000,-527,-2017,3231,400,1755,188
1,12564,2079,-2035,3009,424,1668,406
2,12644,2079,-2035,3009,424,1668,406
0,15999,-530,-1992,3225,411,1749,167
1,16563,2066,-2028,3009,434,1687,393
2,16644,2066,-2028,3009,434,1687,393
0,20000,-520,-1994,3226,417,1745,155
1,20565,2074,-2030,2999,443,1684,374
2,20645,2074,-2030,2999,443,1684,374
0,24000,-508,-2002,3223,427,1745,136
1,24564,2075,-2024,2984,454,1675,358
2,24644,2075,-2024,2984,454,1675,358
0,27999,-495,-1982,3236,436,1742,117
1,28563,2073,-2017,3003,460,1672,338
2,28644,2073,-2017,3003,460,1672,338
0,32000,-503,-1991,3251,443,1745,102
1,32565,2093,-2043,2985,469,1655,320
2,32645,2093,-2043,2985,469,1655,320
0,36000,-497,-1992,3254,448,1739,79
1,36564,2105,-2019,2993,471,1661,298
2,36644,2105,-2019,2993,471,1661,298
0,40000,-484,-2000,3239,449,1740,62
1,40565,2100,-2027,2982,471,1675,280
2,40645,2100,-2027,2982,471,1675,280
0,44000,-494,-1995,3259,450,1737,42
1,44564,2108,-2025,2980,476,1691,265
2,44644,2108,-2025,2980,476,1691,265
0,47999,-498,-2010,3243,450,1735,26
1,48563,2108,-2030,2975,473,1675,242
2,48644,2108,-2030,2975,473,1675,242
0,52000,-495,-2009,3246,451,1738,5
1,52565,2117,-2046,2962,474,1677,224
2,52645,2117,-2046,2962,474,1677,224
0,56000,-492,-2007,3254,450,1741,-21
1,56564,2121,-2043,2972,473,1694,203
2,56644,2121,-2043,2972,473,1694,203
0,59999,-500,-2008,3248,447,1741,-39
1,60563,2109,-2042,2958,467,1681,185
2,60644,2109,-2042,2958,467,1681,185
0,64000,-504,-2012,3261,444,1742,-56
1,64565,2120,-2038,2936,466,1703,162
2,64645,2120,-2038,2936,466,1703,162
0,68000,-502,-2021,3243,441,1740,-76
1,68564,2120,-2056,2949,461,1693,146
2,68644,2120,-2056,2949,461,1693,146
0,71999,-492,-2043,3250,435,1744,-97
1,72563,2110,-2067,2940,454,1695,124
2,72644,2110,-2067,2940,454,1695,124
0,76000,-511,-2056,3239,430,1748,-117
1,76565,2090,-2082,2925,449,1709,106
2,76645,2090,-2082,2925,449,1709,106
0,80000,-498,-2061,3241,422,1745,-133
1,80564,2097,-2110,2925,445,1713,85
2,80644,2097,-2110,2925,445,1713,85
0,83999,-493,-2073,3244,415,1749,-154
1,84563,2100,-2094,2915,435,1719,71
